size;number;sumbits binary;sumbits huff1;cr huff1;sumbits huff2;cr huff2;sumbits huff3;cr huff3;sumbits bz2+bin;sumbits bz2+huff1;cr bz2+huff1;sumbits bz2+huff2;cr bz2+huff2;sumbits bz2+huff3;cr bz2+huff3;sumbits_qasm;sumbits_bz2_qasm;fidelity;circ_depth
5;20;6752130;6581848;0.9747809950341596;2618933;0.38786768027274354;2626306;0.3889596319976067;726232;666048;0.9171284107557915;633032;0.8716663545533658;633232;0.8719417486423071;92721144;1029800;0.6768688792206661;841732
6;1;27654054;26955732;0.974747933883401;10754869;0.38890749978285283;10784679;0.3899854610828488;2858928;2653992;0.9283171874212992;2434944;0.8516982589278219;2447184;0.8559795839559443;379742040;4191736;0.24981550302723812;3510864
6;2;27613164;26915522;0.9747351661692952;10742572;0.38903806894421805;10772871;0.3901353354508741;2877552;2661872;0.925047401402303;2449240;0.8511540364865692;2455296;0.8532586031460074;379177912;4193600;0.2809528417184058;3509684
6;3;27719944;27021277;0.9747955118524049;10765582;0.3883695436036956;10795815;0.3894602023727032;2879688;2664376;0.9252307888910187;2460512;0.8544370084536936;2460424;0.8544064495875943;380655080;4195512;0.2614224046816662;3520704
6;4;27586989;26891845;0.974801744402044;10720143;0.38859416661963364;10749548;0.38966006765000705;2870872;2655200;0.9248757868689373;2431968;0.8471182274932494;2436264;0.8486146369465445;378831976;4192456;0.2744287972770138;3506572
6;5;27690039;26993836;0.9748572762934714;10745676;0.3880700926423397;10775885;0.38916106257560706;2878584;2659288;0.923818099454454;2433080;0.8452350183284559;2446088;0.8497539067819456;380252120;4190128;0.28464718125400457;3517677
6;6;27662539;26965500;0.9748020599266033;10739869;0.38824595963515857;10770897;0.3893676209548227;2883848;2667096;0.9248393119193522;2442656;0.8470127413095281;2457136;0.8520338103811297;379868248;4203088;0.24611315942951384;3511399
6;7;27620809;26918844;0.9745856466405456;10740341;0.3888496169681344;10769962;0.3899220330584814;2874616;2661928;0.9260116829517403;2432648;0.8462514645434381;2433120;0.8464156603873352;379262776;4195080;0.28070071211356945;3514031
6;8;27697524;26998585;0.9747652894894143;10759193;0.3884532422464911;10789185;0.389536082719885;2886800;2675232;0.9267119301648885;2456648;0.8509934875987253;2470104;0.8556547041707081;380342952;4191008;0.2465230850410147;3514921
6;9;27693599;26991155;0.9746351494437396;10756050;0.3883948056011066;10785711;0.3894658473245027;2889296;2678136;0.9269164530044689;2452344;0.8487686965959874;2466456;0.8536529313715175;380270728;4205608;0.2481068458635707;3515486
