['h'],['t'],['tdg'],"['h', 't']","['h', 'tdg']","['t', 'h']","['t', 't']","['tdg', 'h']","['tdg', 'tdg']","['h', 't', 'h']","['h', 't', 't']","['h', 'tdg', 'h']","['h', 'tdg', 'tdg']","['t', 'h', 't']","['t', 'h', 'tdg']","['t', 't', 'h']","['t', 't', 't']","['tdg', 'h', 't']","['tdg', 'h', 'tdg']","['tdg', 'tdg', 'h']","['tdg', 'tdg', 'tdg']"
1,118.0,118.0,0,0,0,0,0,0,118.0,0,118.0,0,0,0,0,0,0,0,0,0
0,138.0,138.0,0,0,0,0,0,0,107.0,0,108.0,0,0,0,0,0,0,0,0,0
0,130.0,130.0,0,0,0,0,0,0,117.0,0,117.0,1,0,0,0,0,0,0,0,0
0,102.0,102.0,0,0,0,0,0,0,128.0,1,128.0,0,0,0,0,0,0,0,0,0
0,130.0,130.0,0,0,0,0,0,0,121.0,0,122.0,0,0,0,0,0,0,0,0,0
0,115.0,115.0,0,0,0,0,0,0,114.0,0,113.0,0,0,0,0,0,0,0,0,0
0,138.0,138.0,0,0,0,0,0,0,94.0,1.0,94.0,0,0,0,0,1,0,0,1.0,0
0,114.0,114.0,0,0,0,0,0,0,140.0,0,140.0,0,0,0,1,0,0,0,0,0
0,116.0,117.0,0,0,0,0,0,0,115.0,0,115.0,0,0,0,0,0,0,0,0,0
0,119.0,119.0,0,0,0,0,0,0,124.0,0,124.0,0,0,0,0,0,1,0,0,0
0,101.0,101.0,0,0,0,0,0,0,100.0,0,100.0,1,0,0,0,0,0,0,0,0
0,129.0,129.0,0,0,0,0,0,0,117.0,0,117.0,0,0,0,0,0,0,1,0,0
0,128.0,128.0,0,0,0,0,0,0,105.0,0,106.0,0,0,0,0,0,0,0,0,0
0,129.0,129.0,0,0,0,0,0,0,127.0,0,127.0,1.0,0,1,1.0,0,0,0,0,0
0,126.0,126.0,0,0,0,0,0,0,123.0,0,123.0,1,0,0,0,0,0,0,0,0
0,128.0,128.0,0,0,0,0,1,0,106.0,0,106.0,0,0,0,0,0,0,0,0,0
0,131.0,131.0,0,0,0,2.0,0,2.0,100.0,0,99.0,0,0,0,0,0,0,0,0,0
0,90.0,90.0,0,0,0,0,0,0,121.0,0,121.0,0,0,0,0,0,0,0,0,1
0,122.0,122.0,0,0,0,0,0,0,114.0,0,113.0,0,0,0,0,0,0,0,0,0
0,129.0,129.0,0,0,0,0,0,1,103.0,0,103.0,0,0,0,0,0,0,0,0,0
